SMILES,delta_d,delta_p,delta_h,sol_param
CC(Cl)=CCCl,16.9,7.8,2.7,18.80797703
ClCC=CCCl,17.8,7.6,2,19.45764631
Fc1c(Cl)cccc1Cl,19.4,9.1,2.7,21.59768506
OC(CCl)CCl,17.5,9.9,14.6,24.84793754
O=[N+]([O-])c1ccc(Cl)c(F)c1Cl,19.9,7.2,4.2,21.57521726
O=[N+]([O-])c1cc(C(F)(F)F)c(Cl)cc1Cl,19.9,7.6,3.7,21.6208233
O=CC(Cl)Cl,16.7,9.1,7.5,20.44382547
O=C(O)C(Cl)Cl,18.2,8.1,12.2,23.36000856
CC(=O)C(Cl)Cl,17.1,7.6,5.4,19.47639597
N#CC(Cl)Cl,17.4,9.4,6.4,20.7865341
Nc1ccc(Cl)cc1Cl,20.9,6.2,10,23.98436991
COc1c(Cl)cccc1Cl,19.8,8.4,6.5,22.46886735
O=Cc1ccc(Cl)cc1Cl,19.7,8.8,5.4,22.24162764
Clc1ccccc1Cl,19.2,6.3,3.3,20.47486264
Clc1ccc(Cl)cc1,19.7,5.6,2.7,20.65768622
Clc1cccc(Cl)c1,19.7,5.1,2.7,20.52778605
FC(F)(F)c1cc(Cl)ccc1Cl,20,4.7,2.4,20.68453529
ClCCCCCl,18.3,7.7,2.8,20.0504364
FC(F)(Cl)Cl,12.3,2,0,12.46154084
CC(Cl)Cl,16.5,7.8,3,18.49567517
C=C(Cl)Cl,16.4,5.2,2.4,17.3712406
ClC=CCl,17,8,3.2,19.05885621
ClCCNCCCl,16.8,7.6,7.7,19.98224212
COC(Cl)Cl,17.1,12.9,6.5,22.38459292
FC(Cl)Cl,15.8,3.1,5.7,17.08039812
O=[N+]([O-])c1cccc(Cl)c1Cl,19.7,12.6,4.4,23.79516758
O=[N+]([O-])c1ccc(Cl)c(Cl)c1,20.1,7.2,4.1,21.74074516
O=[N+]([O-])c1ccc(Cl)cc1Cl,20.4,8.7,4.2,22.57188517
ClCCCCCCl,19,7.8,1.5,20.59344556
Oc1cc(Cl)ccc1Cl,20,6.3,12.1,24.20950227
Oc1c(Cl)cccc1Cl,20.1,7.5,10.9,24.06387334
Oc1ccc(Cl)cc1Cl,20,7.2,13.1,24.96898076
N#CCc1ccc(Cl)c(Cl)c1,20.5,10.8,4.4,23.58495283
CCC(Cl)Cl,16.1,7.8,3.5,18.22909762
OCC(Cl)CCl,17.5,9.2,14.6,24.57742867
C=C(Cl)CCl,16.2,7.8,3,18.22854904
CC=C(Cl)Cl,16.9,6.7,2.9,18.40950841
CC(Cl)=CCl,17,8.5,2.9,19.22654415
FC(F)(Cl)C(F)(F)Cl,12.6,1.8,0,12.72792206
Cc1ccc(Cl)c(Cl)c1,19.8,9.8,2.5,22.23353323
CCOC(Cl)=CCl,16.9,10.5,6,20.78124154
OCCNCCO,17.2,10.8,21.2,29.35847407
CCOC(C)OCC,15,3.4,4,15.89213642
CCOC(C)OCC,15.2,5.4,5.3,16.97910481
CCOC1CCC(OCC)O1,16.6,6.4,7.3,19.23044461
CCN(CC)C(C)=O,16.4,11.3,7.5,21.28144732
CCNCC,14.9,2.3,6.1,16.2637634
CCNCC,16,20.3,18.4,31.72774811
CCc1ccc(CC)cc1,18,0,0.6,18.00999722
CCc1ccccc1CC,17.7,0.1,1,17.72850812
CCOC(=O)OCC,15.1,6.3,3.5,16.73170643
CCN(CC)CCO,16,20.3,18.4,31.72774811
CCOCC,14.5,2.9,5.1,15.64193083
CCN(C=O)CC,16.4,11.4,9.2,21.98999773
CCC(=O)CC,15.8,7.6,4.7,18.15185941
CCOC(=O)CC(=O)OCC,16.1,7.7,8.3,19.68222548
CCOC(=O)C(=O)OCC,16.2,8,8.8,20.09676591
CCOC(=O)c1ccccc1C(=O)OCC,17.6,9.6,4.5,20.5467759
CCOS(=O)(=O)OCC,15.7,14.7,7.1,22.64928255
CCSCC,16.8,3.1,2,17.2002907
CCN(CC)CCO,14.9,5.8,12,19.99124809
CCSSCC,16.7,6.7,5.7,18.87511589
OCCOCCO,16.6,12,20.7,29.12129805
CCCCOCCOCCOC(C)=O,16,4.1,8.2,18.44044468
CCOCCOCCOCC,15.8,5.9,5.6,17.77104386
C=COCCOCCOC=C,16,7.3,7.9,19.27952282
CCCCCCOCCOCCO,16,6,10,19.79898987
CCCCOCCOCCO,16,7,10.6,20.42939059
CCOCCOCCO,16.1,9.2,12.2,22.19662136
CCOCCOCCOC(C)=O,16.2,5.1,9.2,19.31553779
COCCOCCO,16.2,7.8,12.6,21.95540936
CCCOCCOCCO,16,7.2,11.3,20.86935552
NCCNCCN,16.7,13.3,14.3,25.69571949
Fc1ccccc1F,18,9,1,20.14944168
N#Cc1c(F)cccc1F,18.8,11.2,3.2,22.11605751
N#Cc1cc(F)cc(F)c1,18.8,11.2,3.2,22.11605751
CC(F)F,14.9,10.2,3,18.30437106
C=C(F)F,15,6.8,3.6,16.85823241
O=[N+]([O-])c1ccc(F)cc1F,19.4,11,3.7,22.60641502
CCCCCCOCCCCCC,16,3,2.8,16.51786911
CCCCCCOC(=O)c1ccccc1C(=O)OCCCCCC,17,7.6,3.6,18.96628588
C1=COCCC1,17.5,5.5,5.7,19.20911242
Oc1ccc(O)cc1,21,10.2,27.2,35.84522283
Oc1ccccc1O,20,11.3,21.8,31.66907008
CC(C)COC(=O)CCCCC(=O)OCC(C)C,16.7,2.5,6.2,17.98832955
CC(C)NC(C)C,14.8,1.7,3.5,15.30294089
C=C1CC(=O)O1,16.2,15.1,8.1,23.58092449
COCCC(C)OC,15.6,5.5,5.2,17.33926181
COC(C)OC,15.1,4.9,4.9,16.6141506
COc1cccc(OC)c1O,19.3,7.6,13.7,24.85839898
COc1ccccc1OC,19.2,4.4,9.4,21.82567296
COC1CCC(OC)O1,16.8,7.2,8.2,20.03297282
CC(=O)N(C)C,16.8,11.5,10.2,22.77125381
CC#CC,15.1,3.4,7.6,17.24325955
CNC,15.3,4.8,11.2,19.55939672
COC(=O)OC,15.5,3.9,9.7,18.69625631
COCCOC,15.4,6,6,17.58294628
CC(=O)C(C)=O,15.7,5.3,11.7,20.28472332
CN(C)CCO,16.1,9.2,15.3,24.04038269
CN(C)CCO,16.8,19.8,19.8,32.65455558
CN(C)CCO,17.2,21.5,22.5,35.55755897
CN(C)CCO,17.2,18.8,17.6,30.96837096
CN(C)CCO,17.2,21.5,22.5,35.55755897
CN(C)CCO,17.2,21.5,22.5,35.55755897
COC,15.2,6.1,5.7,17.34185688
CN(C)C=O,17.4,13.7,11.3,24.86242144
CN(C)N,15.3,5.9,11,19.74588565
COC(=O)C=CC(=O)OC,16.3,8.3,9.8,20.7513855
COP(C)(=O)OC,16.7,13.1,7.5,22.51110837
Cc1cccc(C)c1O,19.1,4.9,12.9,23.56331895
Cc1ccc(O)cc1C,19.2,6,13.4,24.17022962
COC(=O)c1ccccc1C(=O)OC,18.6,10.8,4.9,22.05923843
Cc1ccc(C)[nH]1,18.3,7.6,6.8,20.94970167
COC(=O)CCCCCCCCC(=O)OC,16.6,2.9,6.7,18.13449751
COS(=O)(=O)OC,17.7,17,9.7,26.38901287
CS(C)(=O)=O,19,19.4,12.3,29.81023314
CS(C)=O,18.4,16.4,10.2,26.67508201
C=C(C)C(C)C,14.9,1.2,2.8,15.20822146
CC(C)(C)CO,15.6,6.5,13.5,21.63007166
Cc1ccc(N)c(C)c1,19.2,5.2,8.7,21.71105709
O=[N+]([O-])c1cc(O)cc([N+](=O)[O-])c1,19.5,12.9,14.4,27.45942461
O=[N+]([O-])c1ccccc1[N+](=O)[O-],20.6,22.7,5.4,31.12571284
O=[N+]([O-])c1ccc(O)cc1[N+](=O)[O-],19.5,12.8,14.3,27.36019006
Cc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],20,13.1,4.9,24.40532729
CCCCCCCCOC(=O)CCCCC(=O)OCCCCCCCC,16.7,2,5.1,17.5755512
CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC,16.6,7,3.1,18.28031728
C1COCCO1,19,1.8,7.4,20.46948949
C1COCO1,18.1,6.6,9.3,21.39298951
C=C(C)C1CC=C(C)CC1,17.2,1.8,4.3,17.82049382
C(#Cc1ccccc1)c1ccccc1,20.1,0,3.2,20.35313244
c1ccc(Oc2ccccc2)cc1,19.5,3.4,5.8,20.62643934
O=S(=O)(c1ccccc1)c1ccccc1,21.1,14.4,3.4,25.77071982
c1ccc(Nc2ccccc2)cc1,20,3.3,5.9,21.11160818
c1ccc(Cc2ccccc2)cc1,19.5,1,1,19.5512148
CCCNCCC,15.3,1.4,4.1,15.90157225
CCCC(=O)CCC,15.8,5.7,4.9,17.49685686
COC(C)COC(C)CO,15.5,5.7,11.2,19.95444813
COCC(C)OCC(C)OC(C)=O,16.3,4.9,8,18.80691362
CSSC,17.3,7.8,6.5,20.05941176
CCCCCCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCCCCCCC,16.6,5.4,1.9,17.55932801
C=Cc1ccc(C=C)cc1,18.6,1,7,19.89874368
CCCCCCCCCCCC,16,0,0,16
CCCCCCCCCCCCO,16,4,9.3,18.93383215
NCCc1ccc(O)c(O)c1,18.2,10.3,19.5,28.59335587
CNC(C)Cc1ccc2c(c1)OCO2,18,5.1,6.1,19.67790639
CCCCCCCCCCCCCCCCCCCC,16.5,0,0,16.5
ClCC1CO1,18.9,7.6,6.6,21.41331362
CCC1CO1,15.6,8,4.6,18.12512069
C=CC1CO1,16.6,7.7,7.4,19.73854098
O=C1CCCCCN1,19.4,13.8,3.9,24.12488342
SCCS,17.9,7.2,8.7,21.16459307
CCS(=O)(=O)Cl,17.7,14.9,6.8,24.11514047
CCS,15.7,6.5,7.1,18.41602563
CCO,15.8,8.8,19.4,26.52244333
NCCO,17,15.5,21.2,31.28402148
NCCO,17.2,20.3,18.4,32.34949768
CCOC(C)=O,15.8,5.3,7.2,18.15406291
CCOC(=O)CC(C)=O,16.5,10.8,8.3,21.39579398
C#CCC,15.1,3.4,5,16.26560789
C=CC(=O)OCC,15.5,7.1,5.5,17.91396104
CCN,15,5.6,10.7,19.25746608
CCCCCC(=O)CC,16.2,4.5,4.1,17.3060683
CCc1ccccc1,17.8,0.6,1.4,17.86504968
CCOC(=O)c1ccccc1,17.9,6.2,6,19.8708329
CCBr,16.5,8.4,2.3,18.65743819
CCCCC(=O)CC,16.2,5,4.1,17.44276354
CCCC(=O)OCC,15.5,5.6,5,17.22236918
CCCCCC(=O)OCC,15.5,3.2,5.9,16.89082591
CCOC(N)=O,16.8,10.1,13,23.52126697
C#[N+]CC,15.6,15.2,5.8,22.53974268
CCCl,15.7,6.1,2.9,17.09122582
CCOC(=O)Cl,15.5,10,6.7,19.62498408
CCOC(=O)C=Cc1ccccc1,18.4,8.2,4.1,20.55748039
CC=C(C=O)CC,16.1,8,5.5,18.80053191
CCOC(=O)CC#N,16.7,7.9,8.3,20.2531479
C=C(C#N)C(=O)OCC,15.2,10.3,9,20.44822731
C#COCC,15.4,7.9,5.9,18.28606026
CCNC=O,17.2,10,14,24.32776192
CCOC=O,15.5,8.4,8.4,19.52869683
CCCCC(CC)COC(C)=O,15.8,2.9,5.1,16.85407962
CCOCl,15.7,8.6,6.5,19.0446843
CCI,17.3,7.9,7.2,20.33568292
CCN=C=O,15.4,12,2.5,19.68273355
CCOC(C)C,14.8,3.5,5.1,16.04057356
CCN=C=S,17.2,14.7,9,24.350154
CCOC(=O)C(C)O,16,7.6,12.5,21.67971402
C=C(C)C(=O)OCC,15.8,7.2,7.5,18.91375161
CCN1CCOCC1,17.7,5,6.6,19.54098258
CCCCCCCCC=CCCCCCCCC(=O)OCC,14.5,3.8,3.7,15.43955958
CCc1ccc(O)cc1,19.2,5.3,12.8,23.67635952
CCOC(=O)CC,15.5,6.1,4.9,17.36289146
CCSC#N,15.4,13.4,5.4,21.11587081
C=C(CC)OCC,15.3,4.2,4.6,16.51938256
C=COCC,14.9,4.9,5.6,16.65472906
C=CC(=O)CC,15.8,11.3,4.5,19.93940822
CCC(CC)CO,15.8,4.3,13.5,21.22215823
C=C(CC)CC,14.9,1.7,3.5,15.39967532
CC#COCC,15.9,6.4,5.4,17.9702532
C=CC(=C)CC,15.3,1.6,3.8,15.84581964
CCN1CCCC1=O,18,12,7,22.737634
CCCCC(CC)CO,15.9,3.3,11.8,20.07336544
C=C,15,2,3.8,15.60256389
O=C1OCCO1,19.4,21.7,5.1,29.55097291
OCCCl,16.9,8.8,17.2,25.66885272
N#CCCO,17.2,18.8,17.6,30.96837096
BrCCBr,19.2,3.5,8.6,21.32721266
ClCCCl,19,7.4,4.1,20.79831724
O=[N+]([O-])OCCO[N+](=O)[O-],16.2,13,4.5,21.25299979
OCCO,17,11,26,32.95451411
CCCCOCCOC(C)=O,15.3,4.5,8.8,18.21482912
CCCCOCCOCC,15.3,4.9,4.6,16.71107417
CC(=O)OCCOC(C)=O,16.2,4.7,9.8,19.5082034
CCCCOCCOCCCC,15.7,4.5,4.2,16.8635702
CCOCCOCC,15.4,5.4,5.2,17.12775525
COCCOC,15.4,6.3,6,17.68756625
OCCOCc1ccccc1,17.8,5.9,12.2,22.37163383
C=CC(=O)OCCOCC,15.9,5.1,9.3,19.11308452
CCCCCCOCCO,16,5,11.4,20.27214838
CCCOCCO,16.1,8.7,13.5,22.74093226
CC(C)(C)OCCO,15.3,6.1,10.8,19.69619253
CCCCOCCO,16,5.1,12.3,20.81585934
CCOCCO,16.2,9.2,14.3,23.48552746
CCOCCOC(C)=O,15.9,4.7,10.6,19.67892273
CC(C)COCCO,15.2,4.9,9.6,18.63357185
CC(C)OCCO,16,8.2,13.1,22.24522421
COCCO,16.2,9.2,16.4,24.8201531
COCCOC(C)=O,15.9,5.5,11.6,20.43575298
OCCOc1ccccc1,17,7.2,12.3,22.18400325
CS(=O)(=O)OCCOS(C)(=O)=O,16.9,9.3,9.6,21.54669348
C1CO1,15.6,10,11,21.5490139
C1CS1,19.3,9,6.5,22.26521951
NCCN,16.6,8.8,17,25.33771892
C1CN1,18.6,9.8,7.7,22.38950647
CCCCC(CC)CN,15.7,4.2,6.1,17.35914744
CC=CC(C)=O,16.2,12.1,4.5,20.71472906
C=CCc1ccc(O)c(OC)c1,19,7.5,13,24.21260003
COc1cc(C=CC(=O)O)ccc1O,19,6.6,15.1,25.15094432
c1ccc2c(c1)Cc1ccccc1-2,20,1.7,1.7,20.14398173
O=Cc1cc(F)ccc1Cl,19.4,7.2,3.7,21.0211798
COc1ccc(F)cc1,18.7,7.3,6.7,21.1629393
Fc1ccccc1,18.7,6.1,2,19.77119116
C=CF,15.2,7,1,16.76424767
CF,13.4,10.6,9.5,19.54916878
C=CC(=C)F,14.2,5.8,1,15.37140202
CCC(=O)c1ccc(F)cc1,19.6,7.1,3.5,21.13811723
C=O,12.8,14.4,15.4,24.6649549
NC=O,17.2,26.2,19,36.65078444
O=CO,14.3,11.9,16.6,24.93311052
O=CF,15,10.1,8.6,20.02423532
O=CN1CCCCCC1,18.5,10.4,7.6,22.54262629
O=CN1CCCCC1,18.7,10.6,7.8,22.86678814
N#CC=CC#N,16.7,13.6,7.8,22.90611272
c1ccoc1,17.8,1.8,5.3,18.65931403
O=Cc1ccco1,18.6,14.9,5.1,24.37170491
OCc1ccco1,17.4,7.6,15.1,24.25963726
N#Cc1ccco1,18.4,15,8.2,25.11573212
OCC(O)CO,17.4,12.1,29.3,36.16158182
O=CC1CO1,17.5,13.4,9.8,24.12156711
OCC1CO1,18.2,9,17.9,27.0675082
C=C(C)C(=O)OCC1CO1,16.3,8.5,5.7,19.24655813
O=CC=O,15,17,13.3,26.28478647
CCCCCCC,15.3,0,0,15.3
CCCCCCCO,16,5.3,11.7,20.51779715
CCCCCC(C)O,15.7,5.4,11.7,20.31108072
CCCCC(O)CC,15.9,5.4,11.7,20.46606948
C=CCCCCC,15,1.1,2.6,15.26335481
CCCCCCCOC(C)=O,15.8,2.9,5.5,16.97939928
O=C(C(Cl)(Cl)Cl)C(Cl)(Cl)Cl,18.3,0,0,18.3
Clc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,21.9,2.1,0,22.00045454
ClC(Cl)(Cl)C(Cl)(Cl)Cl,22,4.7,0,22.49644416
CCCCCCCCCCCCCCCC,16.3,0,0,16.3
FC(F)=C(F)C(F)=C(F)F,13.8,0,0,13.8
OC(C(F)(F)F)C(F)(F)F,17.2,4.5,14.7,23.06902685
Fc1c(F)c(F)c(F)c(F)c1F,16.9,0,0,16.9
Cc1c(C)c(C)c(C)c(C)c1C,19.2,1.6,0,19.26655133
C1N2CN3CN1CN(C2)C3,19.4,11.6,13.8,26.48320222
CN(C)P(=O)(N(C)C)N(C)C,18.5,8.6,11.3,23.32166375
CCCCCC=O,15.8,8.5,5.4,18.73632835
CCCCCC,14.9,0,0,14.9
CCCCCC(=O)O,15,4.1,9.4,18.17058062
CCCCCCO,15.9,5.8,12.5,21.04043726
C=CCCCC,14.7,1.1,0,14.74109901
CCCCCCOC(C)=O,15.8,2.9,5.9,17.11315284
CC(O)CC(C)(C)O,15.7,8.4,17.8,25.1771722
CC(=O)OCCCCCCOC(C)=O,15.3,4.5,7.2,17.49799989
NN,14.2,8.3,8.9,18.70133685
C#N,12.3,17.6,9,23.28196727
OO,15.5,12.2,42.7,47.0359437
O=Cc1ccc(O)cc1,19.4,15.2,14.5,28.59457991
O=C(O)C=Cc1ccc(O)cc1,19.1,6.7,15.9,25.73926961
OC1CCOC1,18.9,9.4,16.3,26.66945819
C=CC(=O)OCCO,16,13.2,13.4,24.69412886
O=C1CCCN1CCO,18,9.2,15.7,25.59550742
C1=Cc2ccccc2C1,18.7,2.6,9,20.9153054
c1ccc2[nH]ccc2c1,19.8,7.5,6.5,22.14813762
C=C=CCI,17.4,6.3,6.2,19.51640336
Ic1ccccc1,19.5,6,6.1,21.29460025
IC(I)I,20.2,3.6,10.6,23.09458811
C=CC(=C)I,17.2,2.5,6.2,18.45345496
CC(=O)OCCC(C)C,15.3,3.1,7,17.10847743
CC(C)CCO,15.8,5.2,13.3,21.29718291
CCC(=O)OCCC(C)C,15.7,5.2,5.6,17.46109962
CC(=O)OCC(C)C,15.1,3.7,6.3,16.77468331
C=CC(=O)OCC(C)C,15.5,6.2,5,17.42670365
CC(C)CO,15.1,5.7,15.9,22.65634569
CC(C)COC=O,15.5,6.5,6.7,18.09392163
CC(C)COC(=O)C(C)C,15.1,2.9,5.9,16.4690619
CC(C)CS(=O)CC(C)C,16.3,10.5,6.1,20.32609161
C=C(C)C,14.5,2,1.5,14.71393897
CC1(C)CO1,16.1,4.8,5.8,17.77329457
CC(C)C(=O)O,16.5,5.4,11.1,20.60630971
N=C=O,15.8,10.5,13.6,23.34202219
CC(C)CCCCCO,14.4,7.3,12.9,20.66543007
CCC(C)C,13.7,0,0,13.7
CC1=CC(=O)CC(C)(C)C1,16.6,8.2,7.4,19.93890669
C=CC(=C)C,14.7,1.4,4.1,15.32514274
CC(=O)OC(C)C,14.9,4.5,8.2,17.59261209
CC(C)N,14.8,4.4,6.6,16.7916646
CC(C)Cl,15.9,8.3,2.1,18.058516
CC(C)OC(C)C,13.7,3.9,2.3,14.42879066
CCCCCCCCCCCCCCCC(=O)OC(C)C,14.3,3.9,3.7,15.27710706
CC(C)CC=O,14.7,9.5,5,18.20274705
CC(C)CC(=O)O,16.4,4.1,10.7,20.00649894
c1cnoc1,18.8,13.4,11.2,25.66008574
C=C=O,15.4,7.3,5.8,18.00249983
CC(O)C(=O)O,17,8.3,28.4,34.12403845
C=C(C)C(=O)OCCCCCCCCCCCC,14.4,2.2,5.1,15.43405326
O=C1C=CC(=O)O1,20.2,18.1,12.6,29.90668822
N#CCC#N,17.7,18.4,6.7,26.395833
Cc1coc2c1CCC(C)C2,17.2,4.6,5.6,18.66440462
CC1CCC(C(C)C)C(O)C1,16.6,4.7,10.6,20.24870366
CC1CCC(C(C)C)C(=O)C1,17,8.1,4.4,19.33830396
CC(=O)OC1CC(C)CCC1C(C)C,16.8,4.7,4.9,18.12015452
CC(=O)C=C(C)C,16.4,6.1,6.1,18.53051537
Cc1cc(C)cc(C)c1,18,0,0.6,18.00999722
C=C(C)C=O,15.7,11.1,7.4,20.60242704
C=C(C)C(N)=O,15.8,11,11.6,22.47665456
C=C(C)C(=O)O,15.8,2.8,10.2,19.01367929
C=C(C)C#N,15.8,15.1,5.4,22.512441
CO,15.1,12.3,22.3,29.60726262
COc1ccc(C(C)=O)cc1,18.9,11.2,7,23.05753673
COc1ccc(C#N)cc1,19.4,16.7,5.4,26.16123086
COC(C)CCO,15.3,5.4,13.6,21.17097069
C=CC=COC,15.5,8.3,5.4,18.39293343
COC1OCCO1,17.8,8.4,7.7,21.13504199
COc1ccccc1[N+](=O)[O-],19.6,16.3,5.5,26.07872696
COc1ccccc1O,18,8.2,13.3,23.83547776
COCCC#N,16.6,14.4,7.8,23.31866205
COCCCN,17.2,22.5,23.5,36.80135867
CC=CC(=O)O,16.8,5.2,12.4,21.51836425
CC=COC,15,4.3,5.7,16.61264579
CNC(C)=O,16.9,18.7,13.9,28.78384964
COC(C)=O,15.5,7.2,7.6,18.70427759
COC(=O)CC(C)=O,16.4,8.6,8.9,20.54580249
C#CC,15.1,3.8,9.2,18.08562965
C=CC(=O)OC,15.3,6.7,9.4,19.16611593
CC=CCO,16,6,15.5,23.07054399
C=CC(C)C#N,16.4,11.3,5.1,20.55869646
