SMILES,delta_d,delta_p,delta_h,canon_SMILES
CCCCCCCCCC1=CC=CC=C1O,16.5,4.1,9.2,CCCCCCCCCc1ccccc1O
CCCCCCCCCCCCCCCCCC,16.4,0,0,CCCCCCCCCCCCCCCCCC
CCCCCCCC,15.5,0,0,CCCCCCCC
CCCCCCCC(=O)O,15.1,3.3,8.2,CCCCCCCC(=O)O
CCCCCCCCO,16,5,11.9,CCCCCCCCO
CCCCCCC(C)O,16.1,4.9,11,CCCCCCC(C)O
CCCCCCC=C,15.3,1,2.4,C=CCCCCCC
CCCCCCCCOC(=O)C,15.8,2.9,5.1,CCCCCCCCOC(C)=O
CCCCCCCCC=CCCCCCCCC(=O)O,16,2.8,6.2,CCCCCCCCC=CCCCCCCCC(=O)O
CCCCCCCCC=CCCCCCCCCO,14.3,2.6,8,CCCCCCCCC=CCCCCCCCCO
C(=O)(C(=O)O)O,17,14.3,22,O=C(O)C(=O)O
C(=O)(C(=O)Cl)Cl,16.1,3.8,7.5,O=C(Cl)C(=O)Cl
C1COC1,18,9.1,5.4,C1COC1
[O-][O+]=O,19.8,4.2,0,O=[O+][O-]
CC(=O)NC1=CC=C(C=C1)O,17.8,10.5,13.9,CC(=O)Nc1ccc(O)cc1
CC1OC(OC(O1)C)C,16.6,7.5,7.3,CC1OC(C)OC(C)O1
C[N+]1=CC=C(C=C1)C2=CC=[N+](C=C2)C,19.5,8.8,5.9,C[n+]1ccc(-c2cc[n+](C)cc2)cc1
C(C(Cl)(Cl)Cl)(Cl)Cl,18.2,3.2,2.4,ClC(Cl)C(Cl)(Cl)Cl
C1(C(C1(Cl)Cl)(Cl)Cl)Cl,18.5,10.5,3.7,ClC1C(Cl)(Cl)C1(Cl)Cl
C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)O,21.5,6.9,12.8,Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl
CC=CC=C,14.7,2.5,5,C=CC=CC
C1=CC=C(C=C1)C(=O)C2=C(C(=C(C(=C2F)F)F)F)F,19.3,8.1,5.4,O=C(c1ccccc1)c1c(F)c(F)c(F)c(F)c1F
C1CCSCC1,18.5,6.3,8.9,C1CCSCC1
CCCCC=O,15.7,9.4,5.8,CCCCC=O
CCCCC,14.5,0,0,CCCCC
CC(=O)CC(=O)C,17.1,9,4.1,CC(=O)CC(C)=O
CCCCC(=O)O,15,4.1,10.3,CCCCC(=O)O
CCCCCO,15.9,5.9,13.9,CCCCCO
CCCC(C)O,15.6,6.4,13.3,CCCC(C)O
C=CCCC=O,15.5,8.1,6.8,C=CCCC=O
CCCC=C,13.9,1.4,3.8,C=CCCC
CCCCCOC(=O)CC,15.8,5.2,5.7,CCCCCOC(=O)CC
C(C(C(C(F)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,12,0,0,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
C1(C(C(C(C(C1(F)F)(F)F)(F)F)(F)F)(F)F)(C(F)(F)F)F,12.4,0,0,FC(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F
C1=CC=C2C(=C1)C3=CC=CC=C3C(=O)C2=O,20.3,17.1,4.8,O=C1C(=O)c2ccccc2-c2ccccc21
CCOC1=CC=CC=C1,18.4,4.5,4,CCOc1ccccc1
C1=CC=C(C=C1)O,18,5.9,14.9,Oc1ccccc1
CC(C)(C1=CC=C(C=C1)O)C2=CC=C(C=C2)O,19.2,5.9,13.8,CC(C)(c1ccc(O)cc1)c1ccc(O)cc1
C1=CC(=CC=C1O)S(=O)(=O)C2=CC=C(C=C2)O,20,14.6,16.3,O=S(=O)(c1ccc(O)cc1)c1ccc(O)cc1
C1=CC=C(C=C1)OCCO,17.8,5.7,14.3,OCCOc1ccccc1
CC(=O)OC1=CC=CC=C1,19.8,5.2,6.4,CC(=O)Oc1ccccc1
C1=CC=C(C=C1)CC#N,19.5,12.3,3.8,N#CCc1ccccc1
C#CC1=CC=CC=C1,18.8,2.8,4,C#Cc1ccccc1
C1=CC=C(C=C1)CCO,19,5.8,12.8,OCCc1ccccc1
C1=CC=C(C=C1)NN,20.4,6.5,14,NNc1ccccc1
C(=O)(Cl)Cl,16.4,5.3,5.3,O=C(Cl)Cl
OP(=O)(O)O,14.7,18.6,26.8,O=P(O)(O)O
O=P(Cl)(Cl)Cl,18.1,9.3,0,O=P(Cl)(Cl)Cl
P(Cl)(Cl)Cl,18.4,3.6,0,ClP(Cl)Cl
C1=CC=C2C(=C1)C(=O)OC2=O,20.6,20.1,10.1,O=C1OC(=O)c2ccccc21
C1=C(C=C(C(=C1[N+](=O)[O-])O)[N+](=O)[O-])[N+](=O)[O-],19.2,7,6,O=[N+]([O-])c1cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c1
CC(C)C(=C)C1(CCCC1)C=O,15.6,16.9,3,C=C(C(C)C)C1(C=O)CCCC1
C1CNCCN1,18.1,5.6,8,C1CNCCN1
C1CCNCC1,17.6,4.5,8.9,C1CCNCC1
C=C=C,15.3,3,6.8,C=C=C
CCC,13.4,0,0,CCC
C1COS(=O)(=O)C1,18.4,16,9,O=S1(=O)CCCO1
C(CO)CO,16.8,13.5,23.2,OCCCO
CC(C)S,16.3,6.8,6.5,CC(C)S
CCCS,16.1,5.8,5.7,CCCS
CCCO,16,6.8,17.4,CCCO
CC(C)O,15.8,6.1,16.4,CC(C)O
CC(=O)OCC#C,16.3,5.2,8.3,C#CCOC(C)=O
C#CC=O,16.2,11.9,8.7,C#CC=O
C1COC1=O,19.7,18.2,10.3,O=C1CCO1
CCC=O,15.3,11.1,6.9,CCC=O
C1C(O1)C=O,17.5,13.4,9.8,O=CC1CO1
CCC(=O)N,16.7,9.8,11.5,CCC(N)=O
CCC(=O)O,14.7,5.3,12.4,CCC(=O)O
CCC(=O)OC(=O)CC,16.2,10,8.7,CCC(=O)OC(=O)CC
CCC#N,15.3,14.3,5.5,CCC#N
CCC(=O)Cl,16.1,10.3,5.3,CCC(=O)Cl
CCCOC(=O)C,15.3,4.3,7.6,CCCOC(C)=O
CCCN,16.9,4.9,8.6,CCCN
CCCCl,16,7.8,2,CCCCl
CCCOC=O,15.5,7.1,8.6,CCCOC=O
CCCOC(=O)C(=C)C,15.5,6.3,6.6,C=C(C)C(=O)OCCC
CCCO[N+](=O)[O-],15.8,11.3,4.1,CCCO[N+](=O)[O-]
CC=C,15.1,1.6,1.5,C=CC
CC1COC(=O)O1,20,18,4.1,CC1COC(=O)O1
CC(CO)Cl,16.8,9.8,15.3,CC(Cl)CO
CC(CO)O,16.8,9.4,23.3,CC(O)CO
CC(COC(C)(C)C)O,15.3,6.1,10.8,CC(O)COC(C)(C)C
CCOCC(C)O,15.7,6.5,10.5,CCOCC(C)O
CC(C)COCC(C)O,15.1,4.7,9.8,CC(C)COCC(C)O
CC(C)OCCCO,15.5,6.1,11,CC(C)OCCCO
CC(COC)O,15.6,6.3,11.6,COCC(C)O
CC(COC)OC(=O)C,15.6,5.6,9.8,COCC(C)OC(C)=O
CC(COC1=CC=CC=C1)O,17.4,5.3,11.5,CC(O)COc1ccccc1
CCCOCC(C)O,15.8,7,9.2,CCCOCC(C)O
CC1CO1,15.2,8.6,6.7,CC1CO1
C#CCO,16.1,8.8,19.1,C#CCO
C#CC#N,15.5,17,6.3,C#CC#N
CC1CCC(=C(C)C)C(=O)C1,17.5,8.9,5.5,CC(C)=C1CCC(C)CC1=O
C1=CNN=C1,20.2,10.4,12.4,c1cn[nH]c1
C1=CC=NN=C1,20.2,17.4,11.7,c1ccnnc1
C1=CC=NC=C1,19,8.8,5.9,c1ccncc1
C1=CC(=C(C(=C1)O)O)O,20.7,10.7,21.1,Oc1cccc(O)c1O
C1=CNC=C1,19.2,7.4,6.7,c1cc[nH]c1
C1CCNC1,17.9,6.5,7.4,C1CCNC1
C1CC(=O)NC1,19.4,17.4,11.3,O=C1CCCN1
CC(=O)C#N,15.9,18.9,8,CC(=O)C#N
COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CCN3CC4C=C)O,19,6.6,11,C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12
C1=CC=C2C(=C1)C=CC=N2,19.8,5.6,5.7,c1ccc2ncccc2c1
C1=CC=C2C(=C1)C(=O)NS2(=O)=O,21,13.9,8.8,O=C1NS(=O)(=O)c2ccccc21
C1=CC=C(C(=C1)C=O)O,19.4,10.7,14.7,O=Cc1ccccc1O
C1=CC=C(C(=C1)C(=O)O)O,19.4,10.1,17.4,O=C(O)c1ccccc1O
C(CCCCC(=O)O)CCCC(=O)O,17.1,7.1,11.7,O=C(O)CCCCCCCCC(=O)O
C1=CC2=C(C=C1O)C(=CN2)CCN,18,8.2,14.4,NCCc1c[nH]c2ccc(O)cc12
COC1=CC(=CC(=C1O)OC)C=CCO,19.2,7.3,16.1,COc1cc(C=CCO)cc(OC)c1O
CC1=CNC2=CC=CC=C12,20,7.1,6.2,Cc1c[nH]c2ccccc12
C(CCNCCCN)CN,16.7,11.2,12,NCCCCNCCCN
CCCCCCCCCCCCCCCCCC(=O)O,16.3,3.3,5.5,CCCCCCCCCCCCCCCCCC(=O)O
C=CC1=CC=CC=C1,18.6,1,4.1,C=Cc1ccccc1
C1C(O1)C2=CC=CC=C2,19.4,5.8,6.6,c1ccc(C2CO2)cc1
C(CC=O)C=O,16.8,9.8,10.5,O=CCCC=O
C1CC(=O)OC1=O,18.6,19.2,16.6,O=C1CCC(=O)O1
C(CC#N)C#N,17.9,16.2,7.9,N#CCCC#N
C1=CC(=CC=C1N)S(=O)(=O)N,20,19.5,10.7,Nc1ccc(S(N)(=O)=O)cc1
C1CCS(=O)(=O)C1,20.3,18.2,10.9,O=S1(=O)CCCC1
C(#N)SC#N,18.1,13.5,0,N#CSC#N
O=S=O,15.8,8.4,10,O=S=O
O=S(=O)(Cl)Cl,17.6,7.2,0,O=S(=O)(Cl)Cl
C1=CC(=CC=C1C(=O)O)C(=O)O,18.8,6.1,10.7,O=C(O)c1ccc(C(=O)O)cc1
CC1=CC(=C(C=C1)O)C(C)(C)C,17.3,3.7,10.5,Cc1ccc(O)c(C(C)(C)C)c1
CC(C)(C1=CC(=C(C(=C1)Br)O)Br)C2=CC(=C(C(=C2)Br)O)Br,20.2,9.1,13.8,CC(C)(c1cc(Br)c(O)c(Br)c1)c1cc(Br)c(O)c(Br)c1
C(C(Br)Br)(Br)Br,22.6,5.1,8.2,BrC(Br)C(Br)Br
C1=C(C(=CC(=C1Cl)Cl)Cl)Cl,21.2,10.7,3.4,Clc1cc(Cl)c(Cl)cc1Cl
C1CC(C(=O)C(C1)(Cl)Cl)(Cl)Cl,19.5,14,6.3,O=C1C(Cl)(Cl)CCCC1(Cl)Cl
C(C(Cl)Cl)(Cl)Cl,18.8,5.1,5.3,ClC(Cl)C(Cl)Cl
C(C(Cl)(Cl)Cl)Cl,18,4.4,4.2,ClCC(Cl)(Cl)Cl
C(=C(Cl)Cl)(Cl)Cl,18.3,5.7,0,ClC(Cl)=C(Cl)Cl
CC(C(Cl)Cl)(Cl)Cl,17.9,6.7,3.3,CC(Cl)(Cl)C(Cl)Cl
CCCCCCCCCCCCCC,16.2,0,0,CCCCCCCCCCCCCC
CCCCCCCCCCCCC=C,16.1,0.5,1.9,C=CCCCCCCCCCCCC
CCO[Si](OCC)(OCC)OCC,13.9,4.3,0.6,CCO[Si](OCC)(OCC)OCC
C1CCOC1,16.8,5.7,8,C1CCOC1
C1CC(OC1)CO,17.8,8.2,10.2,OCC1CCCO1
C1CCC2=CC=CC=C2C1,19.6,2,2.9,c1ccc2c(c1)CCCC2
C1CCOCC1,16.4,6.3,6,C1CCOCC1
C1CCSCC1,18.5,6.3,8.9,C1CCSCC1
COC(CC(OC)OC)OC,15,7.1,6.8,COC(CC(OC)OC)OC
CC1=C(C(=C(C=C1)C)C)C,18.8,0.5,0.5,Cc1ccc(C)c(C)c1C
CC1=CC(=C(C(=C1)C)C)C,18.6,0.5,0.5,Cc1cc(C)c(C)c(C)c1
C1CCSC1,18.6,6.7,9.1,C1CCSC1
C1CCS(=O)C1,18.2,11,9.1,O=S1CCCC1
CN(C)C(=O)N(C)C,16.7,8.2,11,CN(C)C(=O)N(C)C
C([N+](=O)[O-])([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],15.5,9.9,7.5,O=[N+]([O-])C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-]
CCSC,16.2,5.9,5.3,CCSC
C1CS1,19.3,9.1,5,C1CS1
C1=CSC=N1,20.5,18.8,10.8,c1cscn1
CC(=S)N,17.5,20.6,20.2,CC(N)=S
CC(=O)S,17,6.7,8.9,CC(=O)S
C1CC(=O)SC1,19,6.9,6.2,O=C1CCCS1
C(#N)S,16.8,8.9,10.9,N#CS
C(C(=O)O)S,16,8.6,14.8,O=C(O)CS
O=S(Cl)Cl,16.9,6.2,5.9,O=S(Cl)Cl
C1=CSC=C1,18.9,2.4,7.8,c1ccsc1
C1=CC=C(C=C1)S,20,4.5,10.3,Sc1ccccc1
C(=S)(N)N,20,21.7,14.8,NC(N)=S
C1CSCCO1,19,6.6,7.7,C1CSCCO1
CC1=CC(=C(C=C1)C(C)C)O,19,4.5,10.8,Cc1ccc(C(C)C)c(O)c1
CC1=CC=CC=C1,18,1.4,2,Cc1ccccc1
CC1=CC=CC=C1N,19.4,5.8,9.4,Cc1ccccc1N
CC1=C(C=C(C=C1)N=C=O)N=C=O,19.3,7.9,6.1,Cc1ccc(N=C=O)cc1N=C=O
CC(=O)OCC(COC(=O)C)OC(=O)C,16.5,4.5,9.1,CC(=O)OCC(COC(C)=O)OC(C)=O
B(OCCCC)(OCCCC)OCCCC,16.7,1.8,4.6,CCCCOB(OCCCC)OCCCC
CCCCOC(=O)CC(CC(=O)OCCCC)(C(=O)OCCCC)O,16.6,3.8,10.1,CCCCOC(=O)CC(O)(CC(=O)OCCCC)C(=O)OCCCC
CCCCOP(=O)(OCCCC)OCCCC,16.3,6.3,4.3,CCCCOP(=O)(OCCCC)OCCCC
C1=NNN=C1,20.7,8.8,15,c1cn[nH]n1
C1=C(C=C(C(=C1Br)O)Br)Br,20.6,10.2,14.1,Oc1c(Br)cc(Br)cc1Br
C(=C(Br)Br)Br,18.3,9.4,8,BrC=C(Br)Br
C=CC(Cl)(Cl)Cl,17.7,15.5,3.4,C=CC(Cl)(Cl)Cl
CC(=C(Cl)Cl)Cl,17.7,15.7,3.4,CC(Cl)=C(Cl)Cl
C(C(=CCl)Cl)Cl,17.8,15.7,3.4,ClC=C(Cl)CCl
C(=O)(C(Cl)(Cl)Cl)O,18.3,5.8,11.4,O=C(O)C(Cl)(Cl)Cl
C(#N)C(Cl)(Cl)Cl,16.4,7.4,6.1,N#CC(Cl)(Cl)Cl
COC1=C(C=C(C=C1Cl)Cl)Cl,21,3.9,7,COc1c(Cl)cc(Cl)cc1Cl
C1=CC(=C(C=C1Cl)Cl)Cl,20.2,6,3.2,Clc1ccc(Cl)c(Cl)c1
CC(Cl)(Cl)Cl,16.8,4.3,2,CC(Cl)(Cl)Cl
C(C(Cl)Cl)Cl,18.2,5.3,6.8,ClCC(Cl)Cl
C(=C(Cl)Cl)Cl,18,3.1,5.3,ClC=C(Cl)Cl
C(F)(Cl)(Cl)Cl,15.3,2,0,FC(Cl)(Cl)Cl
C1=C(C=C(C(=C1Cl)O)Cl)Cl,20.3,5.1,10.8,Oc1c(Cl)cc(Cl)cc1Cl
C(C(CCl)Cl)Cl,17.8,12.3,3.4,ClCC(Cl)CCl
[SiH](Cl)(Cl)Cl.[SiH](Cl)(Cl)Cl,14.2,3.6,3.8,Cl[SiH](Cl)Cl.Cl[SiH](Cl)Cl
C1=C(C(=CC(=C1Cl)Cl)Cl)S,21,4.5,9.1,Sc1cc(Cl)c(Cl)cc1Cl
C(C(F)(Cl)Cl)(F)(F)Cl,14.7,1.6,0,FC(F)(Cl)C(F)(Cl)Cl
C1=CC(=C(C=C1Cl)O)OC2=C(C=C(C=C2)Cl)Cl,20,7.7,10,Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl
CC1=CC=C(C=C1)OP(=O)(OC2=CC=C(C=C2)C)OC3=CC=C(C=C3)C,19,12.3,4.5,Cc1ccc(OP(=O)(Oc2ccc(C)cc2)Oc2ccc(C)cc2)cc1
CC1(C2CC3C1(C3C2)C)C,16.9,0,0,CC1(C)C2CC3C(C2)C31C
CCCCCCCCCCCCCO,16.2,3.1,9,CCCCCCCCCCCCCO
C(CO)N(CCO)CCO,17.3,22.4,23.3,OCCN(CCO)CCO
C(CO)N(CCO)CCO,17.2,20.3,18.4,OCCN(CCO)CCO
CCOC(=O)CC(CC(=O)OCC)(C(=O)OCC)O,16.5,4.9,12,CCOC(=O)CC(O)(CC(=O)OCC)C(=O)OCC
CCN(CC)CC,17.8,0.4,1,CCN(CC)CC
C(COCCOCCO)O,16,12.5,18.6,OCCOCCOCCO
COCCOCCOCCO,16.2,7.6,12.5,COCCOCCOCCO
CCOP(=O)(OCC)OCC,16.7,11.4,9.2,CCOP(=O)(OCC)OCC
C(C(F)(F)F)O,15.4,8.3,16.4,OCC(F)(F)F
C1=CC(=C(C(=C1[N+](=O)[O-])F)F)F,19.5,7.7,3.5,O=[N+]([O-])c1ccc(F)c(F)c1F
C1=CC=C(C=C1)C(F)(F)F,17.5,8.8,0,FC(F)(F)c1ccccc1
C(=O)(C(F)(F)F)O,15.6,9.9,11.6,O=C(O)C(F)(F)F
CC(F)(F)F,14.6,10.7,0,CC(F)(F)F
C(F)(F)F,14.4,8.9,6.5,FC(F)F
CC(=O)C1=CC=C(C=C1)C(F)(F)F,18.8,6.1,3.5,CC(=O)c1ccc(C(F)(F)F)cc1
C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F,17,6.8,0,FC(F)(F)c1cccc(C(F)(F)F)c1
CC(C)CCCCCOC(=O)C1=CC(=C(C=C1)C(=O)OCCCCCC(C)C)C(=O)OCCCCCC(C)C,16.6,6,2.5,CC(C)CCCCCOC(=O)c1ccc(C(=O)OCCCCCC(C)C)c(C(=O)OCCCCCC(C)C)c1
CN(C)C,14.6,3.4,1.8,CN(C)C
CC(C)C(C(C)(C)COC(=O)C(C)C)O,15.1,6.1,9.8,CC(C)C(=O)OCC(C)(C)C(O)C(C)C
CC1=C(C(=CC=C1)C)C,18,1,1,Cc1cccc(C)c1C
C1CSC1,18.8,7.8,9.4,C1CSC1
CC(C)CC(C)(C)C,14.1,0,0,CC(C)CC(C)(C)C
COP(=O)(OC)OC,16.7,15.9,10.2,COP(=O)(OC)OC
CC1=C(C=C(C=C1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],19.5,3.7,4.5,Cc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-]
C1=CC(=C(C=C1C(F)(F)F)CBr)I,16.2,5.9,4.2,FC(F)(F)c1ccc(I)c(CBr)c1
C1OCOCO1,18.7,9.2,8.6,C1OCOCO1
C1=CC=C(C=C1)OP(=O)(OC2=CC=CC=C2)OC3=CC=CC=C3,20.1,6.4,6.8,O=P(Oc1ccccc1)(Oc1ccccc1)Oc1ccccc1
CCCCCCCCCCC,16,0,0,CCCCCCCCCCC
C(=O)(N)N,20.9,18.7,26.4,NC(N)=O
CCCCC#N,15.3,11,4.8,CCCCC#N
COC1=C(C=CC(=C1)C=O)O,19.4,9.8,11.2,COc1cc(C=O)ccc1O
C=COCCCl,16.3,6.7,5.8,C=COCCCl
CC(=O)OC=C,16,7.2,5.9,C=COC(C)=O
C=CCC(=O)O,16.8,5.2,12.3,C=CCC(=O)O
C=CC#C,15.1,1.7,12,C#CC=C
C=CCOC=C,14.9,6.5,5.3,C=CCOC=C
C=CN,15.7,7.2,11.8,C=CN
C=CBr,15.9,6.3,5.4,C=CBr
CCCCOC=C,15.2,4.1,5.1,C=COCCCC
CCCC(=O)OC=C,15.6,3.9,6.9,C=COC(=O)CCC
C=COCCOCCO,16.3,7.5,13.8,C=COCCOCCO
C=CCl,16,6.5,2.4,C=CCl
CC=CC(=O)OC=C,15.9,5,9,C=COC(=O)C=CC
C=COC=C,14.8,4.2,5.8,C=COC=C
C=COCCOCCOCCO,15.9,6,6.6,C=COCCOCCOCCO
CCOC=C,14.5,4.9,6,C=COCC
C=COC=O,15.3,6.5,9.7,C=COC=O
C=CI,17.1,5.5,7.3,C=CI
CC(C)COC=C,15.1,4.1,5.1,C=COCC(C)C
CC(C)OC=C,14.7,3.5,5.2,C=COC(C)C
CCC(=O)OC=C,15.6,8,4.7,C=COC(=O)CC
C=CC1=CC=NC=C1,18.1,7.2,6.8,C=Cc1ccncc1
C=CN1CCCC1=O,16.4,9.3,5.9,C=CN1CCCC1=O
C=C[SiH3],15.5,2.6,4,C=C[SiH3]
CC1=CC=CC=C1C=C,18.6,1,3.8,C=Cc1ccccc1C
C[Si](C)(C)C=C,14.5,1,2.5,C=C[Si](C)(C)C
C1=COC(=O)O1,17.3,18.1,9.6,O=c1occo1
O,15.5,16,42.3,O
CC1=CC=CC=C1C,17.6,1,3.1,Cc1ccccc1C
